rank,pattern_type,timeframe,frequency,percentage,max_upside,max_downside,avg_upside,avg_downside,upside_count,downside_count
1,HIDDEN_REVERSAL_UPPER,1M,9362,20.24041164007437,2382.849610331694,1342.6745371866928,1104.8825289220595,0.0,9362,0
2,HIDDEN_REVERSAL_LOWER,1M,8553,18.491373719029706,1394.4295173562568,2509.7571712786084,0.0,1091.9646418357183,0,8553
3,BALANCED_UPPER,1M,7940,17.166082933367925,2235.9291935854344,1331.5416296338808,1064.2693394867365,0.0,7940,0
4,BALANCED_LOWER,1M,6633,14.340381372421845,1402.260990471208,2244.4219666082645,0.0,1040.7967737877825,0,6633
5,IDEAL_DOJI_LOWER,1M,3444,7.445842521727851,2250.979729450126,1934.1899958905924,1103.427992422281,1033.5693908703415,2542,902
6,IDEAL_DOJI_UPPER,1M,3409,7.3701733904094775,2097.814067326799,2220.557719602788,1060.9588246682904,1065.8583868725575,1166,2243
7,STRONG_UPPER_BIAS,1M,3096,6.6934751589051755,2306.601161378203,1323.498440917785,1048.3115788902237,0.0,3096,0
8,STRONG_LOWER_BIAS,1M,2471,5.342240671077096,1337.8782613549556,2336.1910847315594,0.0,1043.6175846588278,0,2471
9,BALANCED_UPPER,5M,1410,22.288966171356307,953912.9035320895,389380.32033757865,134341.26991897094,0.0,1410,0
10,STRONG_UPPER_BIAS,5M,959,15.159658552007588,918416.8744136896,328412.1361104511,133822.17688395025,0.0,959,0
